日期,CPI当月同比,CPI个人计算机及其周边设备当月同比,CPI交通运输当月同比,CPI住宅当月同比,CPI信息技术、硬件和服务当月同比,CPI医疗保健当月同比,CPI娱乐当月同比,CPI教育与通信当月同比,CPI服装当月同比,CPI能源当月同比,CPI食品与饮料当月同比,核心CPI当月同比,PPI主要卫生保健行业,PPI仓储,PPI传统服务业总计,PPI住宿业,PPI体育用品、兴趣用品和书店,PPI保健和个人护理用品店,PPI保险业及相关活动,PPI信息业,PPI公用事业,"PPI出版业,不包括互联网",PPI初级金属制造,PPI制造业总计,PPI加工金属产品制造,PPI加油站,PPI化工产品制造,PPI卡车运输,PPI卫生,PPI印刷及其支持活动,PPI商业建筑物,PPI家具及相关产品制造,PPI家具和家居用品商店,PPI工业建筑物,"PPI广播业,不包括互联网",PPI建材及园林设备供应商,PPI建筑业投入,PPI快递及仓储服务,PPI批发贸易业总计,PPI无店铺零售,PPI日用百货商店,PPI服装制造,PPI服装服饰店,PPI木产品制造,PPI机械设备制造,PPI杂项品制造,PPI橡胶及塑料产品制造,PPI水路运输,PPI汽车及零部件经销商,PPI油气开采,PPI电信业,PPI电子和电器商店,PPI电气设备和电器制造,PPI皮革及其副产品制造,PPI石油和煤炭产品制造,PPI纸产品制造,PPI纺织厂,PPI耐用品批发商,PPI航空运输,PPI计算机及电子产品制造,PPI证券、商品、合约及类似活动,PPI运输和仓储业,PPI邮政服务,PPI采矿业总计,PPI铁路运输,PPI零售贸易业总计,PPI非耐用品批发商,PPI非金属矿物产品制造,PPI食品加工,PPI食品饮料店,PPI饮料和烟草制造,净储蓄政府,GDP政府消费支出和投资总额,GDP政府消费支出和投资总额国防,GDP政府消费支出和投资总额非国防,国内投资总额政府,政府消费和投资总投资,政府消费和投资总投资建设,政府消费和投资总投资知识产权产品研究和发展,政府消费和投资总投资设备,政府消费和投资总投资软件,政府消费和投资消费支出,企业,企业农业,企业非农业,净储蓄私人家庭和机构,GDP商品出口,GDP商品进口,GDP服务出口,GDP服务进口,出口金额,出口金额商品,出口金额服务,出口金额汽车及零部件,出口金额消费品,出口金额资本品,出口金额食品和饮料,基于基础价格不变价来自世界其他地区的支付,基于基础价格不变价来自世界其他地区的收入,基于基础价格不变价货物和服务出口金额,基于基础价格不变价货物和服务进口金额,基于基础价格不变价贸易条件指数,进口金额,进口金额中间品,进口金额汽车及零部件,进口金额消费品,进口金额资本品,进口金额食品和饮料,个人总支出利息支付,个人总收入利息收入,住房,GDP国内私人投资总额,GDP国内私人投资总额固定投资,GDP国内私人投资总额知识产权产品,GDP国内私人投资总额非住宅,国内投资总额,国内投资总额私人国内商业,存款机构资产外币计价资产,建筑业,净储蓄,净储蓄私人,ABC News消费者信心指数综合,人均个人消费支出,GDP国内购买总值,消费信贷总计,国债实际收益率10年期,国债实际收益率20年期,国债实际收益率5年期,国债收益率1个月,国债收益率3个月,国债收益率6个月,国债长期平均实际利率,基础货币,存款机构准备金,存款机构负债流通中的货币,货币乘数M1,货币乘数M2,制造业,制造业耐用品,制造业非耐用品,批发贸易,零售贸易,教育服务、卫生保健和社会救助业,艺术、娱乐、休闲、住宿和餐饮服务业,艺术、娱乐、休闲、住宿和餐饮服务业住宿和餐饮服务业,艺术、娱乐、休闲、住宿和餐饮服务业艺术、娱乐和休闲业,运输和仓储业,金融、保险、房地产和租赁业,金融、保险、房地产和租赁业房地产和租赁业,金融、保险、房地产和租赁业金融和保险业,GDP,GDP商品耐用品,GDP商品非耐用品,GDP服务,GDP机动车产出,GDP计算机最终销售,人均GDP,人均个人收入,GDP建设,信息业,公用事业,农业、林业、渔业和狩猎业,未来12个月经济衰退概率,标准普尔500指数,标准普尔500波动率指数(VIX),采掘业
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,2.04,0.52,0.05,0.08,0.18,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132.99,20.04,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,,,,1.43,1.97,0.44,0.03,0.07,0.17,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.52,19.35,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25413,,,,,,,,1.48,2.03,0.44,0.03,0.06,0.15,2.01,,1066310,924828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.14,19.16,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,2.02,0.43,0.02,0.05,0.16,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.69,19.06,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,2,0.39,0.02,0.05,0.15,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.98,18.13,
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,2.04,0.46,0.01,0.04,0.13,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.98,17.55,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,,,,1.35,1.96,0.34,0.02,0.05,0.14,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.22,18.25,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25640,,,,,,,,1.43,2.05,0.42,0.02,0.06,0.15,2.03,,1066310,919599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.68,17.85,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.01,0.39,0.02,0.05,0.14,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.46,17.63,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,2,0.34,0.03,0.06,0.15,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.03,17.91,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,,,,1.35,2.01,0.39,0.03,0.06,0.14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.23,17.58,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25248,,,,,,,,1.31,1.98,0.36,0.03,0.05,0.14,1.96,,1134454,919652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.04,18.68,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.95,0.4,0.02,0.06,0.14,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.48,22.27,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.96,0.42,0.02,0.06,0.14,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.76,27.31,
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,2,0.42,0.02,0.06,0.14,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.78,25.41,
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,,,,1.31,1.99,0.41,0.02,0.07,0.14,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.17,24.55,
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25424,,,,,,,,1.35,2,0.47,0.01,0.08,0.16,1.97,,1134454,918644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.5,23.14,
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.97,0.47,0.01,0.08,0.15,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.53,23.73,
